CUI	IC
C0407663	9.250810304529896
C1540653	9.250810304529896
C2456562	9.250810304529896
C2122946	9.250810304529896
C1551261	9.250810304529896
C2456531	9.250810304529896
C0373281	9.250810304529896
C2945195	9.250810304529896
C0203763	9.250810304529896
C4029406	9.250810304529896
C4489436	9.250810304529896
C1525651	9.250810304529896
C5411734	9.250810304529896
C3836754	9.250810304529896
C1524499	9.250810304529896
C2456013	9.250810304529896
C2551749	9.250810304529896
C0993821	9.250810304529896
C4723759	9.250810304529896
C5696315	9.250810304529896
C2043372	9.250810304529896
C3515869	9.250810304529896
C2321543	9.250810304529896
C2456012	9.250810304529896
C5577983	9.250810304529896
C2456540	9.250810304529896
C3866546	9.250810304529896
C5411275	9.250810304529896
C1629025	9.250810304529896
C3860450	9.250810304529896
C3694983	9.250810304529896
C5224967	9.250810304529896
C0411858	9.250810304529896
C2125982	9.250810304529896
C4067258	9.250810304529896
C3866615	9.250810304529896
C1864674	9.250810304529896
C3826001	9.250810304529896
C2319237	9.250810304529896
C1524540	9.250810304529896
C4748243	9.250810304529896
C5224889	9.250810304529896
C2238384	9.250810304529896
C5697226	9.250810304529896
C3516042	9.250810304529896
C2457120	9.250810304529896
C1144758	9.250810304529896
C2238990	9.250810304529896
C5415709	9.250810304529896
C4028447	9.250810304529896
C5220105	9.250810304529896
C3810232	9.250810304529896
C1562912	9.250810304529896
C2412695	9.250810304529896
C1537274	9.250810304529896
C1964122	9.250810304529896
C2317703	9.250810304529896
C2238803	9.250810304529896
C2457088	9.250810304529896
C5388569	9.250810304529896
C2456318	9.250810304529896
C5696147	9.250810304529896
C4028488	9.250810304529896
C4028562	9.250810304529896
C5959730	9.250810304529896
C2183257	9.250810304529896
C4029078	9.250810304529896
C2238874	9.250810304529896
C5928582	9.250810304529896
C0202659	9.250810304529896
C4510250	9.250810304529896
C0203552	9.250810304529896
C2238898	9.250810304529896
C2455743	9.250810304529896
C0748230	9.250810304529896
C2455702	9.250810304529896
C5435730	9.250810304529896
C1524691	9.250810304529896
C5696104	9.250810304529896
C5765115	9.250810304529896
C5928586	9.250810304529896
C0810554	9.250810304529896
C2453963	9.250810304529896
C0193718	9.250810304529896
C2455529	9.250810304529896
C0221863	9.250810304529896
C5415694	9.250810304529896
C2317702	9.250810304529896
C2084022	9.250810304529896
C2551865	9.250810304529896
